degree,threads,gen_mean,gen_std,serial_mean,serial_std,parallel_mean,parallel_std,parallel_min,parallel_max,speedup,repeats
10000000,1,0.092183,0.0004652762620207426,1.244463,0.0009093393206059852,1.5577325,0.0034825008973437947,1.55527,1.560195,0.7988939050831899,2
10000000,2,0.092612,0.0003648670990922505,1.244463,0.0009093393206059852,0.8363415000000001,0.00022839549032322814,0.83618,0.836503,1.4879842743663922,2
10000000,3,0.092599,0.0003507249634685251,1.244463,0.0009093393206059852,0.83411,0.0030476302269140452,0.831955,0.836265,1.491965088537483,2
10000000,4,0.09209300000000001,0.0002998132752230918,1.244463,0.0009093393206059852,0.833464,0.0020407101705043366,0.832021,0.834907,1.4931214785521632,2
10000000,5,0.092418,0.0011172287142747438,1.244463,0.0009093393206059852,0.4835085,0.00032597622612699073,0.483278,0.483739,2.5738182472490143,2
10000000,6,0.09180450000000001,0.00011101576464629103,1.244463,0.0009093393206059852,0.484201,0.003542604973744613,0.481696,0.486706,2.570137195090469,2
10000000,8,0.0930135,0.0005338656197958474,1.244463,0.0009093393206059852,0.483152,0.00173948268171888,0.481922,0.484382,2.5757173725866807,2
100000000,1,0.9156505,0.001013284017440335,14.183344,0.005764334480232063,18.6792595,1.93064405026522,17.314088,20.044431,0.7593097574344422,2
100000000,2,0.917305,0.001309561758757461,14.183344,0.005764334480232063,9.262539,0.040859458244083345,9.233647,9.291431,1.5312587617714752,2
100000000,3,1.451588,0.7603971766438906,14.183344,0.005764334480232063,9.752583999999999,0.7718254364414274,9.206821,10.298347,1.454316517550631,2
100000000,4,0.919272,0.002496086937588536,14.183344,0.005764334480232063,9.226628,0.007887069037355612,9.221051,9.232205,1.5372185808293128,2
100000000,5,0.925597,0.007618368460503906,14.183344,0.005764334480232063,5.3011040000000005,0.02083136577375525,5.286374,5.315834,2.675545320371002,2
100000000,6,0.919845,0.000842871283174344,14.183344,0.005764334480232063,5.2958085,0.01059458090251802,5.288317,5.3033,2.678220709831181,2
100000000,8,0.9213175,0.0030299525573843442,14.183344,0.005764334480232063,5.314936,0.03128098978613049,5.292817,5.337055,2.668582274556081,2
