degree,workers,gen_mean,gen_std,serial_mean,serial_std,parallel_mean,parallel_std,parallel_min,parallel_max,speedup,repeats
1000,1,8.54e-05,4.62038959396283e-05,0.0009616,0.00015253458624194056,0.0012442000000000002,0.00021928907861542033,0.000969,0.001463,0.7728660986979584,5
1000,2,0.00014780000000000001,8.366600265340732e-07,0.0021573999999999994,1.5565988564816677e-05,0.0016622000000000002,0.0001341890457526247,0.001423,0.001741,1.2979184213692692,5
1000,3,4.46e-05,5.477225575051683e-07,0.0006454000000000001,6.542170893518465e-06,0.0005478,0.0002401264250348137,0.000412,0.000968,1.1781672143117927,5
1000,4,4.4e-05,0.0,0.0006490000000000001,1.565247584249852e-05,0.00209,0.003823124507519994,0.000374,0.008929,0.3105263157894737,5
1000,5,4.46e-05,8.944271909999168e-07,0.0006450000000000001,6.708203932499387e-06,0.0006562,2.7215804232100145e-05,0.000623,0.000688,0.9829320329167938,5
1000,6,5.5400000000000005e-05,5.477225575051646e-07,0.000802,0.0,0.000735,4.769696007084727e-05,0.0007,0.000819,1.091156462585034,5
1000,7,5.58e-05,4.4721359549995665e-07,0.0008045999999999999,5.81377674149945e-06,0.0009446,0.00012619548327891928,0.000852,0.001163,0.8517891170865974,5
1000,8,5.66e-05,1.9493588689617934e-06,0.0008081999999999999,6.058052492344393e-06,0.0008406,0.00017679734160897325,0.000663,0.00113,0.9614561027837257,5
10000,1,0.00040160000000000006,7.92483438312751e-05,0.0559952,0.0036181657231254627,0.07101700000000001,0.0008512963643761176,0.070425,0.072514,0.7884759987045354,5
10000,2,0.0003668,4.969909455915673e-06,0.056815199999999996,0.0037191778258104284,0.037647400000000004,0.001466390057249437,0.036541,0.039274,1.5091400734180844,5
10000,3,0.0003928,3.6300137740785515e-05,0.0551188,0.0013220150150433237,0.0255076,0.0001561755422593439,0.025338,0.025752,2.1608775423795263,5
10000,4,0.0003718,1.2049896265113659e-05,0.0548612,0.001097011485810426,0.021396599999999998,0.0038908396009087807,0.019582,0.028356,2.5640148434798054,5
10000,5,0.0003922,2.9448259710889533e-05,0.055071,0.0005073849623313634,0.026242599999999998,0.001620914032266979,0.025298,0.029115,2.098534443995641,5
10000,6,0.0003638,1.4832396974191322e-06,0.054671399999999995,0.00032190806140884587,0.0247648,0.0010447132142363275,0.023063,0.02584,2.2076253391911096,5
10000,7,0.0003816,2.7125633633152253e-05,0.055901599999999996,0.001635554431989348,0.0263476,0.0032375779218421917,0.02286,0.029898,2.1216960937618605,5
10000,8,0.0003706,1.2198360545581538e-05,0.0552454,0.0016702132498576342,0.0203774,0.0001503838422171753,0.020196,0.020563,2.7111113292176627,5
100000,1,0.0037873333333333335,0.00012268795105198132,5.813065333333333,0.006549052934076097,7.258964,0.04691343503731116,7.207286,7.298871,0.8008119799648178,3
100000,2,0.0037163333333333336,1.9008769905844253e-05,5.7341386666666665,0.009008789948341363,3.7088676666666665,0.002466249446697009,3.70653,3.711445,1.5460618123968295,3
100000,4,0.003727666666666667,4.660829682935568e-05,5.731894666666666,0.011162629812608372,1.9950623333333333,0.033830958075900384,1.97481,2.034118,2.873040391219188,3
100000,8,0.006137333333333334,0.00413240055335072,5.721174,0.011593202361728902,2.010180666666667,0.002252865804555151,2.007675,2.012039,2.846099405327083,3
